recommendationid,Polarity,Subjectivity,NLTK_Compound,Sentiment_Label
212575011,-0.06666666666666667,0.3333333333333333,-0.0258,Neutral
212573183,0.12847222222222224,0.5604166666666667,0.9493,Positive
212572142,0.03770833333333334,0.4341666666666667,0.9632,Positive
212571736,0.03939393939393939,0.5424242424242424,0.948,Positive
212570791,0.028571428571428567,0.4571428571428572,-0.395,Negative
212568530,0.0,0.0,0.0,Neutral
212567941,0.25,0.52,0.2952,Positive
212567737,-0.09926303854875285,0.347562358276644,0.629,Positive
212567087,0.0,1.0,0.0,Neutral
212567019,0.18625000000000003,0.5325,0.8149,Positive
212565644,0.09523026431563013,0.43853909640495,0.9524,Positive
212565140,-0.22999999999999998,0.38,-0.4149,Negative
212564939,0.04999999999999999,0.5,0.3182,Positive
212562740,-0.006226053639846746,0.40134099616858243,0.9202,Positive
212562380,0.0,0.0,0.0,Neutral
212562295,0.3,0.2,0.2846,Positive
212561868,-0.09999999999999992,0.5833333333333333,-0.5423,Negative
212561747,-0.4,0.4,-0.607,Negative
212560333,-0.16666666666666666,0.3166666666666667,0.3551,Positive
212559603,-0.0033333333333333353,0.5480952380952381,-0.4391,Negative
212557895,0.0,0.5,0.0,Neutral
212557162,-0.4,0.4,0.34,Positive
212556487,0.09,0.678888888888889,0.9254,Positive
212552382,0.0,0.75,0.0,Neutral
212552133,-0.06666666666666667,0.46,0.9367,Positive
212547320,0.09499999999999999,0.36666666666666664,0.9507,Positive
212543161,-0.5,0.5200000000000001,-0.1783,Negative
212542855,0.2,0.575,0.6249,Positive
212536954,0.04670514670514668,0.6084175084175085,0.7849,Positive
212529204,0.10205831903945106,0.5417667238421955,-0.9768,Negative
212525978,0.0,0.0,0.0,Neutral
212524783,-0.13272727272727275,0.33090909090909093,-0.9212,Negative
212521543,0.26,0.33999999999999997,0.8201,Positive
212516815,-0.033333333333333326,0.5000000000000001,0.8922,Positive
212513722,1.0,1.0,0.5719,Positive
212509117,0.033333333333333326,0.3666666666666667,0.818,Positive
212504580,0.23166666666666666,0.4766666666666666,0.9917,Positive
212494679,0.3316666666666667,0.66,0.9552,Positive
212492424,0.19333333333333333,0.58,0.9013,Positive
